YEAR,STATE,COUNTY,total_population,total_white,total_free_black,total_slave
1850,Indiana,Scott,5885,5870,15,0
1850,Indiana,Shelby,15502,15483,19,0
1850,Indiana,Spencer,8616,8602,14,0
1850,Indiana,Starke,557,557,0,0
1850,Indiana,Steuben,6104,6102,2,0
1850,Indiana,Sullivan,10141,10103,38,0
1850,Indiana,Switzerland,12932,12866,66,0
1850,Indiana,Tippecanoe,19377,19216,161,0
1850,Indiana,Tipton,3532,3525,7,0
1850,Indiana,Union,6944,6906,38,0
1850,Indiana,Vanderburgh,11414,11187,227,0
1850,Indiana,Vermillion,8661,8643,18,0
1850,Indiana,Vigo,15289,14541,748,0
1850,Indiana,Wabash,12138,12124,14,0
1850,Indiana,Warren,7387,7378,9,0
1850,Indiana,Warrick,8811,8782,29,0
1850,Indiana,Washington,17040,16788,252,0
1850,Indiana,Wayne,25320,24284,1036,0
1850,Indiana,Wells,6152,6141,11,0
1850,Indiana,White,4761,4752,9,0
1850,Indiana,Whitley,5190,5095,95,0
1850,Iowa,Allamakee,777,777,0,0
1850,Iowa,Appanoose,3131,3124,7,0
1850,Iowa,Benton,672,672,0,0
1850,Iowa,Black Hawk,135,135,0,0
1850,Iowa,Boone,735,735,0,0
1850,Iowa,Buchanan,517,517,0,0
1850,Iowa,Cedar,3941,3939,2,0
1850,Iowa,Clarke,79,79,0,0
1850,Iowa,Clayton,3873,3871,2,0
1850,Iowa,Clinton,2822,2802,20,0
1850,Iowa,Dallas,854,854,0,0
1850,Iowa,Davis,7264,7257,7,0
1850,Iowa,Decatur,965,964,1,0
1850,Iowa,Delaware,1759,1759,0,0
1850,Iowa,Des Moines,12988,12963,25,0
1850,Iowa,Dubuque,10841,10813,28,0
1850,Iowa,Fayette,825,825,0,0
1850,Iowa,Fremont,1244,1244,0,0
1850,Iowa,Henry,8707,8695,12,0
1850,Iowa,Iowa,822,821,1,0
1850,Iowa,Jackson,7210,7201,9,0
1850,Iowa,Jasper,1280,1280,0,0
1850,Iowa,Jefferson,9904,9903,1,0
1850,Iowa,Johnson,4472,4450,22,0
1850,Iowa,Jones,3007,3006,1,0
1850,Iowa,Keokuk,4822,4822,0,0
1850,Iowa,Lee,18861,18809,52,0
1850,Iowa,Linn,5444,5441,3,0
1850,Iowa,Louisa,4939,4923,16,0
1850,Iowa,Lucas,471,471,0,0
1850,Iowa,Madison,1179,1179,0,0
1850,Iowa,Mahaska,5989,5988,1,0
1850,Iowa,Marion,5482,5453,29,0
1850,Iowa,Marshall,338,338,0,0
1850,Iowa,Monroe,2884,2884,0,0
1850,Iowa,Muscatine,5731,5662,69,0
1850,Iowa,Page,551,551,0,0
1850,Iowa,Polk,4513,4513,0,0
1850,Iowa,Pottawattamie,7828,7828,0,0
1850,Iowa,Poweshiek,615,615,0,0
1850,Iowa,Scott,5986,5972,14,0
1850,Iowa,Tama,8,8,0,0
1850,Iowa,Taylor,204,204,0,0
1850,Iowa,Van Buren,12270,12265,5,0
1850,Iowa,Wapello,8471,8466,5,0
1850,Iowa,Warren,961,961,0,0
1850,Iowa,Washington,4957,4957,0,0
1850,Iowa,Wayne,340,339,1,0
1850,Iowa,Winneshiek,546,546,0,0
1850,Kentucky,Adair,9898,8083,108,1707
1850,Kentucky,Allen,8742,7385,43,1314
1850,Kentucky,Anderson,6260,4948,30,1282
1850,Kentucky,Ballard,5496,4628,26,842
1850,Kentucky,Barren,20240,15543,113,4584
1850,Kentucky,Bath,12115,9464,116,2535
1850,Kentucky,Boone,11185,9044,37,2104
1850,Kentucky,Bourbon,14466,7155,245,7066
1850,Kentucky,Boyle,9116,5375,317,3424
1850,Kentucky,Bracken,8903,7949,114,840
1850,Kentucky,Breathitt,3785,3603,12,170
1850,Kentucky,Breckinridge,10593,8616,11,1966
1850,Kentucky,Bullitt,6774,5392,27,1355
1850,Kentucky,Butler,5755,5055,19,681
1850,Kentucky,Caldwell,13048,9802,139,3107
1850,Kentucky,Calloway,8096,7088,16,992
1850,Kentucky,Campbell,13127,12871,79,177
1850,Kentucky,Carroll,5526,4549,28,949
1850,Kentucky,Carter,6241,5960,24,257
1850,Kentucky,Casey,6556,5863,59,634
1850,Kentucky,Christian,19580,11290,150,8140
1850,Kentucky,Clark,12683,7709,134,4840
1850,Kentucky,Clay,5421,4734,172,515
1850,Kentucky,Clinton,4889,4589,38,262
1850,Kentucky,Crittenden,6351,5473,30,848
1850,Kentucky,Cumberland,7005,5476,44,1485
1850,Kentucky,Daviess,12362,9419,54,2889
1850,Kentucky,Edmonson,4088,3748,15,325
1850,Kentucky,Estill,5985,5568,6,411
1850,Kentucky,Fayette,22735,11178,668,10889
1850,Kentucky,Fleming,13914,11617,158,2139
1850,Kentucky,Floyd,5714,5503,62,149
1850,Kentucky,Franklin,12462,8740,357,3365
1850,Kentucky,Fulton,4446,3499,4,943
1850,Kentucky,Gallatin,5137,4399,34,704
1850,Kentucky,Garrard,10237,7029,32,3176
1850,Kentucky,Grant,6531,5993,6,532
1850,Kentucky,Graves,11397,9950,8,1439
1850,Kentucky,Grayson,6837,6507,10,320
1850,Kentucky,Green,9060,6335,117,2608
1850,Kentucky,Greenup,9654,8992,56,606
1850,Kentucky,Hancock,3853,3216,15,622
1850,Kentucky,Hardin,14525,12023,43,2459
1850,Kentucky,Harlan,4268,4108,37,123
1850,Kentucky,Harrison,13064,9733,146,3185
1850,Kentucky,Hart,9093,7739,53,1301
1850,Kentucky,Henderson,12171,7651,123,4397
1850,Kentucky,Henry,11442,8375,54,3013
1850,Kentucky,Hickman,4791,3932,18,841
1850,Kentucky,Hopkins,12441,10199,50,2192
1850,Kentucky,Jefferson,59831,47283,1637,10911
1850,Kentucky,Jessamine,10249,6256,168,3825
1850,Kentucky,Johnson,3873,3843,0,30
1850,Kentucky,Kenton,17038,16117,91,830
1850,Kentucky,Knox,7050,6238,200,612
1850,Kentucky,Larue,5859,5177,10,672
1850,Kentucky,Laurel,4145,3947,6,192
1850,Kentucky,Lawrence,6281,6142,2,137
1850,Kentucky,Letcher,2512,2440,10,62
1850,Kentucky,Lewis,7202,6872,8,322
1850,Kentucky,Lincoln,10093,6634,104,3355
1850,Kentucky,Livingston,6578,5401,59,1118
1850,Kentucky,Logan,16581,10750,364,5467
1850,Kentucky,McCracken,6067,5237,22,808
1850,Kentucky,Madison,15727,10269,65,5393
1850,Kentucky,Marion,11765,8598,81,3086
1850,Kentucky,Marshall,5269,5000,20,249
1850,Kentucky,Mason,18344,13674,386,4284
1850,Kentucky,Meade,7393,5799,21,1573
1850,Kentucky,Mercer,14067,10471,336,3260
1850,Kentucky,Monroe,7756,6902,23,831
1850,Kentucky,Montgomery,9903,6666,164,3073
1850,Kentucky,Morgan,7620,7395,38,187
1850,Kentucky,Muhlenberg,9809,8250,37,1522
1850,Kentucky,Nelson,14789,9543,116,5130
1850,Kentucky,Nicholas,10361,8682,166,1513
1850,Kentucky,Ohio,9749,8568,49,1132
1850,Kentucky,Oldham,7629,5156,49,2424
1850,Kentucky,Owen,10444,8882,48,1514
1850,Kentucky,Owsley,3774,3616,22,136
1850,Kentucky,Pendleton,6774,6230,35,509
1850,Kentucky,Perry,3092,2972,3,117
1850,Kentucky,Pike,5365,5250,17,98
1850,Kentucky,Pulaski,14195,12861,27,1307
1850,Kentucky,Rockcastle,4697,4289,33,375
1850,Kentucky,Russell,5349,4901,13,435
