GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,total_population
G1303050,1870,Georgia,130,Wayne,3050,Wayne,2177
G1303070,1870,Georgia,130,Webster,3070,Webster,4677
G1303110,1870,Georgia,130,White,3110,White,4606
G1303130,1870,Georgia,130,Whitfield,3130,Whitfield,10117
G1303150,1870,Georgia,130,Wilcox,3150,Wilcox,2439
G1303170,1870,Georgia,130,Wilkes,3170,Wilkes,11796
G1303190,1870,Georgia,130,Wilkinson,3190,Wilkinson,9383
G1303210,1870,Georgia,130,Worth,3210,Worth,3778
G1650015,1870,Idaho Territory,165,Ada,15,Ada,2675
G1650035,1870,Idaho Territory,165,Alturas,35,Alturas,689
G1650075,1870,Idaho Territory,165,Boise,75,Boise,3834
G1650115,1870,Idaho Territory,165,Idaho,115,Idaho,849
G1650155,1870,Idaho Territory,165,Lemhi,155,Lemhi,988
G1650175,1870,Idaho Territory,165,Nez Perce,175,Nez Perce,1607
G1650195,1870,Idaho Territory,165,Oneida,195,Oneida,1922
G1650215,1870,Idaho Territory,165,Owyhee,215,Owyhee,1713
G1650235,1870,Idaho Territory,165,Shoshone,235,Shoshone,722
G1700010,1870,Illinois,170,Adams,10,Adams,56362
G1700030,1870,Illinois,170,Alexander,30,Alexander,10564
G1700050,1870,Illinois,170,Bond,50,Bond,13152
G1700070,1870,Illinois,170,Boone,70,Boone,12942
G1700090,1870,Illinois,170,Brown,90,Brown,12205
G1700110,1870,Illinois,170,Bureau,110,Bureau,32415
G1700130,1870,Illinois,170,Calhoun,130,Calhoun,6562
G1700150,1870,Illinois,170,Carroll,150,Carroll,16705
G1700170,1870,Illinois,170,Cass,170,Cass,11580
G1700190,1870,Illinois,170,Champaign,190,Champaign,32737
G1700210,1870,Illinois,170,Christian,210,Christian,20363
G1700230,1870,Illinois,170,Clark,230,Clark,18719
G1700250,1870,Illinois,170,Clay,250,Clay,15875
G1700270,1870,Illinois,170,Clinton,270,Clinton,16285
G1700290,1870,Illinois,170,Coles,290,Coles,25235
G1700310,1870,Illinois,170,Cook,310,Cook,349966
G1700330,1870,Illinois,170,Crawford,330,Crawford,13889
G1700350,1870,Illinois,170,Cumberland,350,Cumberland,12223
G1700370,1870,Illinois,170,DeKalb,370,De Kalb,23265
G1700390,1870,Illinois,170,De Witt,390,De Witt,14768
G1700410,1870,Illinois,170,Douglas,410,Douglas,13484
G1700430,1870,Illinois,170,Dupage,430,Du Page,16685
G1700450,1870,Illinois,170,Edgar,450,Edgar,21450
G1700470,1870,Illinois,170,Edwards,470,Edwards,7565
G1700490,1870,Illinois,170,Effingham,490,Effingham,15653
G1700510,1870,Illinois,170,Fayette,510,Fayette,19638
G1700530,1870,Illinois,170,Ford,530,Ford,9103
G1700550,1870,Illinois,170,Franklin,550,Franklin,12652
G1700570,1870,Illinois,170,Fulton,570,Fulton,38291
G1700590,1870,Illinois,170,Gallatin,590,Gallatin,11134
G1700610,1870,Illinois,170,Greene,610,Greene,20277
G1700630,1870,Illinois,170,Grundy,630,Grundy,14938
G1700650,1870,Illinois,170,Hamilton,650,Hamilton,13014
G1700670,1870,Illinois,170,Hancock,670,Hancock,35935
G1700690,1870,Illinois,170,Hardin,690,Hardin,5113
G1700710,1870,Illinois,170,Henderson,710,Henderson,12582
G1700730,1870,Illinois,170,Henry,730,Henry,35506
G1700750,1870,Illinois,170,Iroquois,750,Iroquois,25782
G1700770,1870,Illinois,170,Jackson,770,Jackson,19634
G1700790,1870,Illinois,170,Jasper,790,Jasper,11234
G1700810,1870,Illinois,170,Jefferson,810,Jefferson,17864
G1700830,1870,Illinois,170,Jersey,830,Jersey,15054
